"","cluster_id"
"E14_MS09T01","Post-paTE"
"E14_MS09T02","Post-paTE"
"E14_MS09T04","Post-paTE"
"E14_MS09T06","Post-paTE"
"E14_MS09T07","Post-paTE"
"E14_MS09T10","Post-paTE"
"E14_MS13T81","Post-paTE"
"E16_MS09T42","Post-paTE"
"E16_MS09T43","Post-paTE"
"E06_MS03T16","PreE-TE"
"E06_MS03T17","PreE-TE"
"E06_MS03T19","PreE-TE"
"E06_MS03T21","PreE-TE"
"E06_MS03T22","PreE-TE"
"E06_MS03T24","PreE-TE"
"E06_MS03T25","PreE-TE"
"E06_MS03T27","PreE-TE"
"E06_MS03T29","PreE-TE"
"E06_MS03T30","PreE-TE"
"E06_MS68T13","PreE-TE"
"E06_MS68T15","PreE-TE"
"E06_MS68T16","PreE-TE"
"E07_MS03T40","PreE-TE"
"E07_MS03T41","PreE-TE"
"E07_MS03T42","PreE-TE"
"E07_MS03T43","PreE-TE"
"E07_MS03T44","PreE-TE"
"E07_MS03T45","PreE-TE"
"E07_MS03T47","PreE-TE"
"E07_MS03T48","PreE-TE"
"E07_MS03T49","PreE-TE"
"E07_MS03T55","PreL-TE"
"E07_MS03T58","PreL-TE"
"E07_MS03T59","PreL-TE"
"E07_MS03T60","PreL-TE"
"E07_MS03T63","PreL-TE"
"E07_MS03T67","PreL-TE"
"E07_MS03T68","PreL-TE"
"E07_MS08T44","PreL-TE"
"E07_MS08T45","PreL-TE"
"E07_MS08T46","PreL-TE"
"E08_MS02T04","PreL-TE"
"E08_MS02T07","PreL-TE"
"E08_MS02T10","PreL-TE"
"E08_MS02T11","PreL-TE"
"E08_MS02T19","PreL-TE"
"E08_MS02T24","PreL-TE"
"E08_MS02T25","PreL-TE"
"E08_MS02T27","PreL-TE"
"E08_MS02T33","PreL-TE"
"E08_MS02T34","PreL-TE"
"E08_MS02T58","PreL-TE"
"E08_MS02T60","PreL-TE"
"E08_MS02T61","PreL-TE"
"E08_MS02T62","PreL-TE"
"E08_MS02T64","PreL-TE"
"E08_MS02T65","PreL-TE"
"E08_MS02T69","PreL-TE"
"E08_MS02T70","PreL-TE"
"E08_MS02T72","PreL-TE"
"E08_MS02T73","PreL-TE"
"E08_MS02T74","PreL-TE"
"E08_MS02T75","PreL-TE"
"E08_MS02T78","PreL-TE"
"E08_MS02T79","PreL-TE"
"E08_MS02T82","PreL-TE"
"E08_MS02T83","PreL-TE"
"E08_MS02T86","PreL-TE"
"E08_MS02T87","PreL-TE"
"E08_MS02T88","PreL-TE"
"E08_MS02T90","PreL-TE"
"E08_MS02T91","PreL-TE"
"E08_MS02T94","PreL-TE"
"E08_MS02T95","PreL-TE"
"E09_MS03T75","PreL-TE"
"E09_MS03T76","PreL-TE"
"E09_MS03T77","PreL-TE"
"E09_MS03T84","PreL-TE"
"E09_MS03T86","PreL-TE"
"E09_MS03T87","PreL-TE"
"E09_MS03T90","PreL-TE"
"E09_MS03T94","PreL-TE"
