cell_id,Real,SNNQCD,Leiden,Louvain,Spectral
42,0,0,0,0,0
3,0,0,0,0,0
93,0,0,0,0,0
35,0,0,0,0,0
80,0,0,0,0,0
40,0,0,0,0,0
52,0,0,0,0,0
14,0,0,0,0,0
32,0,0,0,0,0
55,0,0,0,0,0
71,0,0,0,0,0
69,0,0,0,0,0
90,0,0,0,0,0
25,0,0,0,0,0
39,0,0,0,0,0
21,0,0,0,0,0
94,0,0,0,0,0
6,0,0,0,0,0
99,0,0,0,0,0
87,0,0,0,0,0
95,0,0,0,0,0
62,0,0,0,0,0
77,0,0,0,0,0
44,0,0,0,0,0
73,0,0,0,0,0
88,0,0,0,0,0
17,0,0,0,0,0
27,1,1,1,1,1
57,1,1,1,1,1
86,1,1,1,1,1
100,1,1,1,1,1
54,1,1,1,1,1
41,1,1,1,1,1
18,1,1,1,1,1
68,1,1,1,1,1
30,1,1,1,1,1
34,1,1,1,1,1
91,1,1,1,1,1
51,1,1,1,1,1
61,1,1,1,1,1
24,1,1,1,1,1
26,1,1,1,1,1
97,1,1,1,1,1
16,1,1,1,1,1
82,1,1,1,1,1
59,1,1,1,1,1
22,1,1,1,1,1
12,1,1,1,1,1
78,1,1,1,1,1
15,1,1,1,1,1
58,1,2,2,2,2
83,2,2,2,2,2
23,2,2,2,2,2
66,2,2,2,2,2
4,2,2,2,2,2
48,2,2,2,2,2
56,2,2,2,2,2
74,2,2,2,2,2
37,2,2,2,2,2
89,2,2,2,2,2
2,2,2,2,2,2
45,2,2,2,2,2
5,2,2,2,2,2
43,2,2,2,2,2
60,2,2,2,2,2
76,2,2,2,2,2
81,2,2,2,2,2
7,2,2,2,2,2
46,2,2,2,2,2
38,2,2,2,2,2
28,2,2,2,2,2
9,2,2,2,2,2
84,2,2,2,2,2
29,2,2,2,2,2
8,2,2,2,2,2
33,2,2,2,2,2
96,2,2,2,2,2
13,2,2,2,2,2
92,3,2,2,2,2
63,3,2,2,2,2
98,3,3,3,3,3
67,3,3,3,3,3
31,3,3,3,3,3
19,3,3,3,3,3
79,3,3,3,3,3
47,3,3,3,3,3
85,3,3,3,3,3
11,3,3,3,3,3
20,3,3,3,3,3
10,3,3,3,3,3
1,3,3,3,3,3
53,3,3,3,3,3
65,3,3,3,3,3
72,3,3,3,3,3
50,3,3,3,3,3
75,3,3,3,3,3
64,3,3,3,3,3
70,3,3,3,3,3
36,3,3,3,3,3
49,3,3,3,3,3
