"cell_id","group_id"
"Cell1","Path4"
"Cell2","Path3"
"Cell3","Path1"
"Cell4","Path3"
"Cell5","Path3"
"Cell6","Path1"
"Cell7","Path3"
"Cell8","Path3"
"Cell9","Path3"
"Cell10","Path4"
"Cell11","Path4"
"Cell12","Path2"
"Cell13","Path3"
"Cell14","Path1"
"Cell15","Path2"
"Cell16","Path2"
"Cell17","Path1"
"Cell18","Path2"
"Cell19","Path4"
"Cell20","Path4"
"Cell21","Path1"
"Cell22","Path2"
"Cell23","Path3"
"Cell24","Path2"
"Cell25","Path1"
"Cell26","Path2"
"Cell27","Path2"
"Cell28","Path3"
"Cell29","Path3"
"Cell30","Path2"
"Cell31","Path4"
"Cell32","Path1"
"Cell33","Path3"
"Cell34","Path2"
"Cell35","Path1"
"Cell36","Path4"
"Cell37","Path3"
"Cell38","Path3"
"Cell39","Path1"
"Cell40","Path1"
"Cell41","Path2"
"Cell42","Path1"
"Cell43","Path3"
"Cell44","Path1"
"Cell45","Path3"
"Cell46","Path3"
"Cell47","Path4"
"Cell48","Path3"
"Cell49","Path4"
"Cell50","Path4"
"Cell51","Path2"
"Cell52","Path1"
"Cell53","Path4"
"Cell54","Path2"
"Cell55","Path1"
"Cell56","Path3"
"Cell57","Path2"
"Cell58","Path2"
"Cell59","Path2"
"Cell60","Path3"
"Cell61","Path2"
"Cell62","Path1"
"Cell63","Path4"
"Cell64","Path4"
"Cell65","Path4"
"Cell66","Path3"
"Cell67","Path4"
"Cell68","Path2"
"Cell69","Path1"
"Cell70","Path4"
"Cell71","Path1"
"Cell72","Path4"
"Cell73","Path1"
"Cell74","Path3"
"Cell75","Path4"
"Cell76","Path3"
"Cell77","Path1"
"Cell78","Path2"
"Cell79","Path4"
"Cell80","Path1"
"Cell81","Path3"
"Cell82","Path2"
"Cell83","Path3"
"Cell84","Path3"
"Cell85","Path4"
"Cell86","Path2"
"Cell87","Path1"
"Cell88","Path1"
"Cell89","Path3"
"Cell90","Path1"
"Cell91","Path2"
"Cell92","Path4"
"Cell93","Path1"
"Cell94","Path1"
"Cell95","Path1"
"Cell96","Path3"
"Cell97","Path2"
"Cell98","Path4"
"Cell99","Path1"
"Cell100","Path2"
