"cell_id","group_id"
"Cell1","Path2"
"Cell2","Path3"
"Cell3","Path1"
"Cell4","Path2"
"Cell5","Path3"
"Cell6","Path3"
"Cell7","Path3"
"Cell8","Path3"
"Cell9","Path3"
"Cell10","Path2"
"Cell11","Path2"
"Cell12","Path2"
"Cell13","Path3"
"Cell14","Path2"
"Cell15","Path1"
"Cell16","Path1"
"Cell17","Path2"
"Cell18","Path3"
"Cell19","Path2"
"Cell20","Path1"
"Cell21","Path3"
"Cell22","Path3"
"Cell23","Path2"
"Cell24","Path1"
"Cell25","Path1"
"Cell26","Path1"
"Cell27","Path3"
"Cell28","Path1"
"Cell29","Path3"
"Cell30","Path2"
"Cell31","Path2"
"Cell32","Path1"
"Cell33","Path1"
"Cell34","Path2"
"Cell35","Path3"
"Cell36","Path2"
"Cell37","Path3"
"Cell38","Path3"
"Cell39","Path1"
"Cell40","Path3"
"Cell41","Path3"
"Cell42","Path2"
"Cell43","Path3"
"Cell44","Path2"
"Cell45","Path3"
"Cell46","Path1"
"Cell47","Path2"
"Cell48","Path2"
"Cell49","Path1"
"Cell50","Path2"
"Cell51","Path1"
"Cell52","Path1"
"Cell53","Path1"
"Cell54","Path1"
"Cell55","Path2"
"Cell56","Path1"
"Cell57","Path3"
"Cell58","Path3"
"Cell59","Path1"
"Cell60","Path1"
"Cell61","Path2"
"Cell62","Path3"
"Cell63","Path3"
"Cell64","Path3"
"Cell65","Path3"
"Cell66","Path3"
"Cell67","Path2"
"Cell68","Path3"
"Cell69","Path1"
"Cell70","Path1"
"Cell71","Path3"
"Cell72","Path3"
"Cell73","Path1"
"Cell74","Path1"
"Cell75","Path1"
"Cell76","Path3"
"Cell77","Path1"
"Cell78","Path2"
"Cell79","Path3"
"Cell80","Path2"
"Cell81","Path3"
"Cell82","Path1"
"Cell83","Path1"
"Cell84","Path2"
"Cell85","Path1"
"Cell86","Path3"
"Cell87","Path2"
"Cell88","Path2"
"Cell89","Path3"
"Cell90","Path1"
"Cell91","Path2"
"Cell92","Path3"
"Cell93","Path3"
"Cell94","Path1"
"Cell95","Path2"
"Cell96","Path3"
"Cell97","Path2"
"Cell98","Path3"
"Cell99","Path2"
"Cell100","Path2"
