"cell_id","group_id"
"Cell1","Path3"
"Cell2","Path3"
"Cell3","Path2"
"Cell4","Path2"
"Cell5","Path3"
"Cell6","Path3"
"Cell7","Path3"
"Cell8","Path4"
"Cell9","Path1"
"Cell10","Path3"
"Cell11","Path3"
"Cell12","Path3"
"Cell13","Path2"
"Cell14","Path2"
"Cell15","Path3"
"Cell16","Path4"
"Cell17","Path2"
"Cell18","Path3"
"Cell19","Path3"
"Cell20","Path1"
"Cell21","Path3"
"Cell22","Path1"
"Cell23","Path4"
"Cell24","Path4"
"Cell25","Path1"
"Cell26","Path3"
"Cell27","Path1"
"Cell28","Path2"
"Cell29","Path4"
"Cell30","Path4"
"Cell31","Path3"
"Cell32","Path2"
"Cell33","Path2"
"Cell34","Path1"
"Cell35","Path1"
"Cell36","Path3"
"Cell37","Path2"
"Cell38","Path4"
"Cell39","Path4"
"Cell40","Path2"
"Cell41","Path3"
"Cell42","Path3"
"Cell43","Path2"
"Cell44","Path1"
"Cell45","Path2"
"Cell46","Path3"
"Cell47","Path3"
"Cell48","Path4"
"Cell49","Path1"
"Cell50","Path3"
"Cell51","Path2"
"Cell52","Path4"
"Cell53","Path4"
"Cell54","Path4"
"Cell55","Path2"
"Cell56","Path2"
"Cell57","Path4"
"Cell58","Path3"
"Cell59","Path1"
"Cell60","Path1"
"Cell61","Path3"
"Cell62","Path2"
"Cell63","Path2"
"Cell64","Path1"
"Cell65","Path1"
"Cell66","Path3"
"Cell67","Path4"
"Cell68","Path2"
"Cell69","Path4"
"Cell70","Path3"
"Cell71","Path4"
"Cell72","Path4"
"Cell73","Path1"
"Cell74","Path1"
"Cell75","Path3"
"Cell76","Path4"
"Cell77","Path3"
"Cell78","Path2"
"Cell79","Path2"
"Cell80","Path2"
"Cell81","Path4"
"Cell82","Path1"
"Cell83","Path4"
"Cell84","Path4"
"Cell85","Path4"
"Cell86","Path4"
"Cell87","Path3"
"Cell88","Path3"
"Cell89","Path3"
"Cell90","Path2"
"Cell91","Path3"
"Cell92","Path3"
"Cell93","Path4"
"Cell94","Path2"
"Cell95","Path2"
"Cell96","Path1"
"Cell97","Path4"
"Cell98","Path4"
"Cell99","Path4"
"Cell100","Path2"
